,title,salary,link,site
192,Middle / Senior Python Software Engineer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48381719?from=vacancy_search_list&query=python%20developer,https://hh.ru
193,"Python Django разработчик, удаленно","{'min_salary': 150000, 'max_salary': 200000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/47600591?from=vacancy_search_list&query=python%20developer,https://hh.ru
194,Разработчик (backend python),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48379519?from=vacancy_search_list&query=python%20developer,https://hh.ru
195,Python/Scala разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48278313?from=vacancy_search_list&query=python%20developer,https://hh.ru
196,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48300722?from=vacancy_search_list&query=python%20developer,https://hh.ru
197,"Python Django разработчик, удаленно","{'min_salary': 150000, 'max_salary': 200000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/47600595?from=vacancy_search_list&query=python%20developer,https://hh.ru
198,Python developer (middle),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47511996?from=vacancy_search_list&query=python%20developer,https://hh.ru
199,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/37607594?from=vacancy_search_list&query=python%20developer,https://hh.ru
200,Python разработчик,"{'min_salary': 150000, 'max_salary': 250000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/37486302?from=vacancy_search_list&query=python%20developer,https://hh.ru
201,Программист Python,"{'min_salary': 40000, 'max_salary': 60000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/46544493?from=vacancy_search_list&query=python%20developer,https://hh.ru
202,Программист - Python Middle,"{'min_salary': 60000, 'max_salary': 120000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/47685752?from=vacancy_search_list&query=python%20developer,https://hh.ru
203,"Senior Python Developer (инвестиционное ПО, удаленно)","{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48274331?from=vacancy_search_list&query=python%20developer,https://hh.ru
204,Senior Python Backend Developer / WEB - разработчик,"{'min_salary': 3000, 'max_salary': 'not salary', 'currency': 'USD'}",https://nn.hh.ru/vacancy/46126514?from=vacancy_search_list&query=python%20developer,https://hh.ru
205,Ведущий разработчик Python,"{'min_salary': 160000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48064738?from=vacancy_search_list&query=python%20developer,https://hh.ru
206,Senior Machine Learning Engineer (remote),"{'min_salary': 400000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48124082?from=vacancy_search_list&query=python%20developer,https://hh.ru
207,Python разработчик middle\senior,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48282023?from=vacancy_search_list&query=python%20developer,https://hh.ru
208,Инженер-программист (Python developer),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47723848?from=vacancy_search_list&query=python%20developer,https://hh.ru
209,Python разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48380083?from=vacancy_search_list&query=python%20developer,https://hh.ru
210,Middle Python разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48286025?from=vacancy_search_list&query=python%20developer,https://hh.ru
211,Ведущий разработчик Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48308339?from=vacancy_search_list&query=python%20developer,https://hh.ru
212,Middle/Senior Python-разработчик в команду Добычи данных,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47616455?from=vacancy_search_list&query=python%20developer,https://hh.ru
213,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48372845?from=vacancy_search_list&query=python%20developer,https://hh.ru
